2,754,503.09,370.12,53.97,52.27,1,-1,-1,-1
2,755,451.08,369.35,36.34,29.89,1,-1,-1,-1
3,754,509.32,370.11,37.41,35.97,1,-1,-1,-1
5,755,454.28,369.32,34.53,28.41,1,-1,-1,-1
6,755,455.60,371.10,32.30,26.54,1,-1,-1,-1
7,755,456.06,371.40,31.61,25.96,1,-1,-1,-1
7,761,503.42,370.05,53.26,52.32,1,-1,-1,-1
8,755,456.39,371.26,31.39,25.81,1,-1,-1,-1
8,761,503.35,370.09,53.13,52.17,1,-1,-1,-1
9,755,456.79,370.69,30.99,25.49,1,-1,-1,-1
9,761,503.40,370.07,52.88,51.89,1,-1,-1,-1
10,755,457.61,372.15,29.26,23.96,1,-1,-1,-1
10,761,503.35,370.16,53.29,52.28,1,-1,-1,-1
11,755,458.67,371.00,28.64,23.36,1,-1,-1,-1
11,761,503.71,370.26,52.99,51.93,1,-1,-1,-1
12,755,458.91,370.67,28.72,23.39,1,-1,-1,-1
12,761,503.89,370.59,52.55,51.47,1,-1,-1,-1
13,755,460.40,371.51,27.19,22.03,1,-1,-1,-1
13,761,503.66,370.29,53.16,52.09,1,-1,-1,-1
14,755,461.28,371.15,26.59,21.45,1,-1,-1,-1
14,761,503.43,369.73,53.86,52.81,1,-1,-1,-1
15,755,461.85,370.53,26.34,21.23,1,-1,-1,-1
15,761,503.73,369.94,53.07,51.99,1,-1,-1,-1
15,771,769.64,378.15,212.13,91.42,1,-1,-1,-1
16,755,462.10,370.47,25.97,20.84,1,-1,-1,-1
16,761,503.53,369.90,53.31,52.22,1,-1,-1,-1
17,755,461.89,369.16,26.91,21.52,1,-1,-1,-1
17,761,508.14,369.86,42.64,40.62,1,-1,-1,-1
20,761,503.62,369.44,53.09,50.73,1,-1,-1,-1
21,761,503.04,370.24,53.86,51.51,1,-1,-1,-1
21,755,467.01,370.83,23.26,18.58,1,-1,-1,-1
22,761,503.06,371.04,53.64,51.28,1,-1,-1,-1
22,778,0.00,359.91,273.66,111.64,1,-1,-1,-1
22,755,468.71,370.92,22.89,18.29,1,-1,-1,-1
23,761,503.03,371.28,53.66,51.40,1,-1,-1,-1
23,755,469.16,370.45,23.72,19.02,1,-1,-1,-1
24,761,503.43,371.01,53.60,51.44,1,-1,-1,-1
24,755,470.99,370.39,22.33,17.95,1,-1,-1,-1
25,761,503.20,370.06,54.34,52.06,1,-1,-1,-1
25,755,471.88,370.22,21.03,16.85,1,-1,-1,-1
26,761,503.03,370.25,54.36,51.99,1,-1,-1,-1
26,755,472.78,369.86,21.49,17.23,1,-1,-1,-1
28,761,502.67,370.75,54.21,51.69,1,-1,-1,-1
28,755,475.41,369.94,20.16,16.09,1,-1,-1,-1
29,761,502.59,370.77,54.42,51.92,1,-1,-1,-1
29,755,476.26,370.14,19.89,15.80,1,-1,-1,-1
30,761,502.69,371.07,54.05,51.51,1,-1,-1,-1
31,761,502.59,371.02,54.32,51.69,1,-1,-1,-1
32,761,502.57,370.92,54.51,51.84,1,-1,-1,-1
33,761,502.96,371.03,53.84,51.10,1,-1,-1,-1
34,761,502.98,371.02,53.87,50.95,1,-1,-1,-1
35,761,502.78,370.67,54.49,51.50,1,-1,-1,-1
36,761,503.11,370.67,54.12,51.05,1,-1,-1,-1
37,761,503.76,371.56,53.70,50.67,1,-1,-1,-1
38,761,502.99,371.32,54.17,50.89,1,-1,-1,-1
39,761,502.60,370.70,54.31,50.96,1,-1,-1,-1
40,761,502.14,370.38,55.00,51.55,1,-1,-1,-1
41,761,502.07,370.23,55.61,52.07,1,-1,-1,-1
42,761,502.52,370.88,54.40,50.78,1,-1,-1,-1
43,761,502.41,370.67,54.73,51.05,1,-1,-1,-1
44,761,502.21,370.33,55.43,51.74,1,-1,-1,-1
45,761,502.47,370.59,54.87,51.16,1,-1,-1,-1
46,761,502.46,370.59,54.83,51.09,1,-1,-1,-1
47,761,502.16,370.14,55.43,51.71,1,-1,-1,-1
48,761,502.31,370.42,55.01,51.38,1,-1,-1,-1
49,761,502.55,370.56,54.53,50.94,1,-1,-1,-1
50,761,502.51,370.41,54.93,51.39,1,-1,-1,-1
51,761,502.97,370.63,54.34,50.77,1,-1,-1,-1
52,761,502.75,370.43,54.76,51.12,1,-1,-1,-1
53,761,502.38,369.91,55.54,51.87,1,-1,-1,-1
54,761,502.53,369.78,55.35,51.69,1,-1,-1,-1
55,761,502.48,369.76,55.23,51.58,1,-1,-1,-1
56,761,502.57,369.84,55.52,51.97,1,-1,-1,-1
57,761,502.89,370.08,54.85,51.35,1,-1,-1,-1
58,761,503.11,370.56,54.41,50.96,1,-1,-1,-1
59,761,503.80,371.24,53.47,49.81,1,-1,-1,-1
60,761,502.27,369.22,56.27,52.82,1,-1,-1,-1
61,761,501.69,368.91,56.59,53.58,1,-1,-1,-1
62,761,502.67,371.28,54.56,51.48,1,-1,-1,-1
63,761,502.27,369.51,56.50,53.48,1,-1,-1,-1
64,761,501.52,368.41,57.08,54.49,1,-1,-1,-1
65,761,501.25,367.18,57.85,55.57,1,-1,-1,-1
66,761,502.43,370.22,54.84,52.65,1,-1,-1,-1
67,761,503.72,372.08,52.68,50.63,1,-1,-1,-1
81,761,503.04,370.48,54.73,52.85,1,-1,-1,-1
82,761,504.39,372.47,50.02,47.73,1,-1,-1,-1
83,761,503.23,371.55,53.02,50.68,1,-1,-1,-1
84,761,503.34,372.31,53.55,50.63,1,-1,-1,-1
88,761,504.36,373.99,52.32,49.22,1,-1,-1,-1
89,761,503.40,371.34,55.20,52.38,1,-1,-1,-1
90,761,502.34,368.32,57.50,55.22,1,-1,-1,-1
91,761,503.20,370.27,55.54,53.37,1,-1,-1,-1
91,788,374.67,365.83,47.59,38.52,1,-1,-1,-1
92,761,503.95,372.94,53.32,50.81,1,-1,-1,-1
93,761,503.89,374.65,53.69,50.98,1,-1,-1,-1
94,761,503.48,376.86,53.48,50.63,1,-1,-1,-1
95,761,503.19,375.71,54.40,51.29,1,-1,-1,-1
96,761,503.88,374.95,53.54,50.24,1,-1,-1,-1
97,761,502.69,371.56,55.86,52.48,1,-1,-1,-1
97,793,398.27,365.90,65.93,37.92,1,-1,-1,-1
98,761,501.42,371.00,55.36,52.63,1,-1,-1,-1
98,793,396.26,365.48,66.30,38.08,1,-1,-1,-1
99,761,502.43,370.71,54.38,51.40,1,-1,-1,-1
99,793,401.48,364.84,65.54,37.53,1,-1,-1,-1
100,793,398.37,364.08,61.11,35.36,1,-1,-1,-1
101,761,503.85,369.46,54.10,51.04,1,-1,-1,-1
102,788,378.59,367.40,43.92,35.90,1,-1,-1,-1
103,795,470.46,373.00,57.40,54.85,1,-1,-1,-1
